이름,분류,질량g,낙하,연도,위도,경도
Queen Alexandra Range 99792,LL5,9.2,Found,1999,-84.0,168.0
Queen Alexandra Range 99801,LL5,2.1,Found,1999,-84.0,168.0
Queen Alexandra Range 99811,LL5,3.6,Found,1999,-84.0,168.0
Queen Alexandra Range 99821,LL5,40.6,Found,1999,-84.0,168.0
Queen Alexandra Range 99830,LL5,5.3,Found,1999,-84.0,168.0
Queen Alexandra Range 99839,LL5,1.8,Found,1999,-84.0,168.0
Queen Alexandra Range 99848,L5,17.7,Found,1999,-84.0,168.0
Queen Alexandra Range 99857,LL5,13.9,Found,1999,-84.0,168.0
Queen Alexandra Range 99866,LL5,4.3,Found,1999,-84.0,168.0
Queen Alexandra Range 99876,LL5,7.3,Found,1999,-84.0,168.0
Queen Alexandra Range 99885,LL5,8.9,Found,1999,-84.0,168.0
Queen Alexandra Range 99894,LL5,14.6,Found,1999,-84.0,168.0
Queen Alexandra Range 99903,LL5,1.3,Found,1999,-84.0,168.0
Queen Alexandra Range 99912,LL5,0.8,Found,1999,-84.0,168.0
Ragged Top,H4,122.7,Found,1997,32.447,-111.347
Ramlat al Wahibah 004,H4/5,43.83,Found,2006,21.348,58.408
Ramlat al Wahibah 014,H5,5591,Found,2006,21.06,58.404
Ramlat al Wahibah 023,H4,107.09,Found,2006,21.376,58.428
Ramlat al Wahibah 032,L6,13.48,Found,2006,21.338,58.412
Ramlat al Wahibah 040,H4/5,78.36,Found,2006,21.371,58.414
Ramlat as Sahmah 003,H5,39.81,Found,2003,20.264,56.464
Ramlat as Sahmah 200,Mesosiderite,487.26,Found,2002,20.005,56.412
Ramlat as Sahmah 209,H5,100.47,Found,2003,20.584,55.853
Ramlat as Sahmah 219,L4,470.16,Found,2003,20.476,55.798
Ramlat as Sahmah 228,L5,417.35,Found,2003,20.56,55.973
Ramlat as Sahmah 237,H4,85.23,Found,2005,20.596,56.154
Ramlat as Sahmah 246,H5,2841,Found,2005,20.839,56.415
Ramlat as Sahmah 255,H5,107.8,Found,2005,20.023,56.464
Ramlat as Sahmah 264,L6,1074,Found,1989,20.709,55.429
Ramlat as Sahmah 273,L4-6,163.3,Found,2008,20.52,56.124
Ramlat as Sahmah 284,LL5,1489.6,Found,2009,20.519,55.801
Ramlat as Sahmah 293,H5-6,31,Found,2009,20.628,55.531
Ramlat as Sahmah 302,H4,161.7,Found,2009,20.145,56.241
Ramlat as Sahmah 311,H4-6,20.3,Found,2009,20.784,55.448
Ramlat as Sahmah 320,L6,1002.3,Found,2009,20.873,55.428
Ramlat as Sahmah 329,H3,80.45,Found,2009,20.001,56.366
Ramlat as Sahmah 338,H3.6,934.7,Found,2010,20.803,55.467
Ramlat as Sahmah 348,L6,31,Found,2010,20.438,55.884
Ramlat as Sahmah 357,L6,2781.2,Found,2010,20.432,55.533
Ramlat as Sahmah 366,L4-5,15.8,Found,2010,20.521,55.853
Ramlat as Sahmah 375,L3.9-5,31.94,Found,2010,20.495,55.851
Ramlat as Sahmah 384,Mesosiderite-C2,5026,Found,2010,20.005,56.405
Ramlat as Sahmah 393,H6,2.24,Found,2010,20.146,55.709
Ramlat as Sahmah 402,H4,100.94,Found,2010,20.145,55.768
Ramlat as Sahmah 412,H5,0.26,Found,2010,20.203,56.032
Ramlat as Sahmah 421,L6,2841,Found,2010,20.425,56.278
Rancho Blanco,Eucrite-mmict,155,Found,1987,24.3,-102.183
Rebiana,L/LL5,459,Found,1999,24.978,21.885
Reckling Peak 92402,CM2,8,Found,1992,-76.242,158.162
Reckling Peak 92411,H5,21.3,Found,1992,-76.231,158.329
Reckling Peak 92420,H5,6.6,Found,1992,-76.232,158.378
Reckling Peak 92430,H5,12.7,Found,1992,-76.22,158.376
Reckling Peak 92439,L6,0.5,Found,1992,-76.22,158.378
Reckling Peak A78002,H4,8483,Found,1978,-76.267,159.25
Reckling Peak A79009,H6,54.7,Found,1979,-76.24,158.598
Reckling Peak A80205,H3.8,53.8,Found,1980,-76.207,158.494
Reckling Peak A80215,L6,9,Found,1980,-76.221,158.67
Reckling Peak A80224,Eucrite-unbr,8,Found,1980,-76.206,158.507
Reckling Peak A80234,LL5,136.2,Found,1980,-76.235,158.327
Reckling Peak A80243,H5,3.4,Found,1980,-76.21,158.475
Reckling Peak A80252,L6,11.2,Found,1980,-76.215,158.4
Reckling Peak A80261,L6,61.6,Found,1980,-76.235,158.76
Red Dry Lake 002,H6,21.5,Found,2001,35.653,-114.024
Red Dry Lake 025,L5/6,6.55,Found,2003,35.679,-114.043
Red Dry Lake 071,H6,4.35,Found,2010,35.625,-114.047
Reid,H5,144.1,Found,1969,-30.067,128.983
Reid 010,H6,8220,Found,1986,-30.322,128.85
Reid 019,L6,56,Found,1993,-30.517,128.476
Reid 028,H6,30.6,Found,1999,-30.124,128.85
Rica Aventura,"Iron, IVA",5395,Found,1910,-21.983,-69.617
Rio do Pires,L6,118,Found,1991,-13.123,-42.288
Roach Dry Lake 021,H6,59.2,Found,2001,35.673,-115.367
Roberts Massif 03522,CK5,282.4,Found,2003,,
Roberts Massif 03531,H5,72.4,Found,2003,,
Roberts Massif 04101,L5,1918.6,Found,2004,,
Roberts Massif 04110,LL6,172.1,Found,2004,,
Roberts Massif 04119,H5,945.5,Found,2004,,
Roberts Massif 04128,L5,1104.8,Found,2004,,
Roberts Massif 04165,H6,14.4,Found,2004,,
Roberts Massif 04175,L5,61.2,Found,2004,,
Roberts Massif 04184,H5,11.5,Found,2004,,
Roberts Massif 04193,L5,85,Found,2004,,
Roberts Massif 04202,H5,14.8,Found,2004,,
Roberts Massif 04211,H5,182.7,Found,2004,,
Roberts Massif 04219,L5,69.2,Found,2004,,
Roberts Massif 04228,Acapulcoite,19.8,Found,2004,,
Roberts Massif 04238,L5,10.1,Found,2004,,
Roberts Massif 04247,H5,44.2,Found,2004,,
Roberts Massif 04256,L5,34.7,Found,2004,,
Roberts Massif 04265,LL5,401.3,Found,2004,,
Roberts Massif 04274,L5,431.1,Found,2004,,
Roberts Massif 04283,LL5,119.6,Found,2004,,
Roberts Massif 04292,L5,32.3,Found,2004,,
Roberts Massif 04301,L5,9.1,Found,2004,,
Rock Creek,L5,1641,Found,1980,34.422,-101.498
Romashki,L6,3400,Found,2009,50.285,46.7
Roosevelt County 004,L6,882,Found,1977,34.083,-103.5
Roosevelt County 016,H5,138.2,Found,1981,34.1,-103.483
Roosevelt County 025,L5,4.3,Found,1984,34.083,-103.5
Roosevelt County 034,H5,118.5,Found,1968,34.083,-103.617
Roosevelt County 044,L6,439.1,Found,1970,34.25,-103.517
Roosevelt County 052,H5,17.7,Found,1971,34.1,-103.483
Roosevelt County 061,H5,49.5,Found,1968,34.083,-103.517
Roosevelt County 070,L5,2.3,Found,1989,34.1,-103.483
Roosevelt County 079,H4,30.2,Found,1993,34.1,-103.583
Roosevelt County 088,H4,7.5,Found,1978,33.883,-103.567
Roosevelt County 096,L5,212.2,Found,1996,34.092,-103.677
Roosevelt County 106,L6,98.8,Found,2001,34.217,-103.933
Rosebud,H5,54900,Found,1915,30.817,-97.05
Rub' al-Khali 002,L6,55,Found,1955,20.0,50.0
Ryder Gletcher,L5,5288,Found,1988,81.167,-49.0
Sahara 00019,L3.8,1665,Found,2000,,
Sahara 01501,H5,254.9,Found,2001,,
Sahara 03501,H4,4067,Found,2003,,
Sahara 97007,H4/5,252,Found,1997,,
Sahara 97017,L3/4,199,Found,1997,,
Sahara 97028,H4,289,Found,1997,,
Sahara 97039,Chondrite-ung,65,Found,1997,,
Sahara 97054,H4,810,Found,1997,,
Sahara 97064,LL6,161.3,Found,1997,,
Sahara 97073,L6,335,Found,1997,,
Sahara 97083,H6,83,Found,1997,,
Sahara 97092,EH3,337,Found,1997,,
Sahara 97104,LL6,207,Found,1997,,
Sahara 97115,EH3,61,Found,1997,,
Sahara 97125,EH3,70,Found,1997,,
Sahara 97134,L6,288,Found,1997,,
Sahara 97143,L4/5,312,Found,1997,,
Sahara 97156,L5,445,Found,1997,,
Sahara 97165,L5,80,Found,1997,,
Sahara 97175,L5,2138,Found,1997,,
Sahara 97184,L5,582,Found,1997,,
Sahara 97193,L3.9,522,Found,1997,,
Sahara 97208,LL6,152,Found,1997,,
Sahara 98088,Mesosiderite,2580,Found,1998,,
Sahara 98312,L5-6,23,Found,1998,,
Sahara 98448,Mesosiderite,785,Found,1998,,
Sahara 98639,H4,300,Found,1998,,
Sahara 99033,H~4,108,Found,1999,0.0,0.0
Sahara 99099,LL6,267,Found,1999,,
Sahara 99339,L/LL3.5,32.4,Found,1999,,
Sahara 99550,L4,213,Found,1999,,
Sahara 99980,H5,292,Found,1999,,
Salar de Atacama,L6,223,Found,2008,-23.826,-68.572
San Bernardino Wash,L5,258,Found,2010,34.001,-115.73
San Juan 001,L5,1229,Found,2001,-25.575,-69.795
San Juan 010,H3.8,21.06,Found,2007,-25.448,-69.867
San Juan 019,L6,181,Found,2008,-25.442,-69.874
San Juan 028,H5,151,Found,2008,-25.441,-69.871
San Juan 038,H5,460,Found,2009,-25.442,-69.882
San Juan 047,H5,14.1,Found,2009,-25.443,-69.864
San Juan 056,L5,85,Found,2010,-25.439,-69.859
San Juan 065,H4,459,Found,2010,-25.583,-69.783
Sandford Cliffs 03451,H5,2863.9,Found,2002,,
Sandford Cliffs 03459,LL6,701.9,Found,2002,,
Sandford Cliffs 03468,LL5,192.3,Found,2002,,
Sandford Cliffs 03478,LL5,107.2,Found,2003,,
Sandford Cliffs 03487,LL4,57.06,Found,2003,,
Sandford Cliffs 03496,LL5,93.3,Found,2002,,
Sandford Cliffs 03505,LL5,42.21,Found,2003,,
Santa Clara,"Iron, IVB",63000,Found,1976,24.467,-103.35
Sappa,L6,5950,Found,1983,39.844,-100.51
Sarir Tibesti 001,H5,6697,Found,1994,24.297,18.414
Sayh al Uhaymir 006,L6,620,Found,1999,20.927,57.285
Sayh al Uhaymir 015,H5,132,Found,1999,21.048,57.287
Sayh al Uhaymir 024,L6,268,Found,1999,21.115,57.221
Sayh al Uhaymir 033,H6,1868,Found,2000,20.997,57.291
Scott Glacier 06021,L5,17,Found,2006,,
Sayh al Uhaymir 050,L6,132,Found,2000,20.976,57.323
Sayh al Uhaymir 059,H4,62,Found,2001,20.542,56.678
Sayh al Uhaymir 069,H6,311.9,Found,2001,20.819,57.34
Sayh al Uhaymir 078,L6,598.6,Found,2001,21.004,57.319
Sayh al Uhaymir 087,H5,1736,Found,2000,20.32,57.232
Sayh al Uhaymir 096,H4/5,158,Found,2000,21.109,56.934
Sayh al Uhaymir 105,H5,34,Found,2001,21.058,57.292
Sayh al Uhaymir 114,L5,191,Found,2001,21.047,57.255
Sayh al Uhaymir 123,L6,120,Found,2001,21.02,57.282
Sayh al Uhaymir 132,H5,12.34,Found,2001,21.068,57.316
Sayh al Uhaymir 141,H5,9.87,Found,2002,21.063,57.316
Sayh al Uhaymir 150,Martian (shergottite),107.7,Found,2002,20.992,57.32
Sayh al Uhaymir 160,L6,185,Found,2000,20.09,56.703
Sayh al Uhaymir 169,Lunar (anorth),206.45,Found,2002,20.573,57.323
Sayh al Uhaymir 180,L4,556,Found,2004,20.548,56.679
Sayh al Uhaymir 190,L5,262,Found,2001,20.863,56.203
Sayh al Uhaymir 200,L6,16.08,Found,2002,21.067,57.283
Sayh al Uhaymir 209,H5,5585,Found,2002,20.332,57.247
Sayh al Uhaymir 218,L4,86.33,Found,2002,20.442,57.233
Sayh al Uhaymir 226,H6,93.47,Found,2002,20.063,56.953
Sayh al Uhaymir 235,L6,2370.06,Found,2002,20.542,57.199
Sayh al Uhaymir 244,H4-6,63.05,Found,2002,20.568,57.374
Sayh al Uhaymir 253,H5,2128.9,Found,2002,20.596,57.162
Sayh al Uhaymir 263,H5,400.8,Found,2002,20.695,57.183
Sayh al Uhaymir 271,H4,314.63,Found,2002,20.769,57.26
Sayh al Uhaymir 280,H4,193.02,Found,2002,21.063,57.313
Sayh al Uhaymir 289,H4/5,3,Found,2004,21.004,57.264
Sayh al Uhaymir 298,H5,221.5,Found,2004,20.791,57.184
Sayh al Uhaymir 307,L~6,1.2,Found,2004,21.003,57.327
Sayh al Uhaymir 316,L4,10,Found,2004,21.005,57.312
Sayh al Uhaymir 326,L6,1352,Found,2004,21.008,57.31
Sayh al Uhaymir 408,L5,369.1,Found,2005,20.91,56.902
Sayh al Uhaymir 417,H5,19.46,Found,2005,20.28,56.508
Sayh al Uhaymir 426,H4-5,112.41,Found,2005,20.926,57.122
Sayh al Uhaymir 434,H~5,286.1,Found,2001,21.089,57.273
Sayh al Uhaymir 443,LL~5,4.7,Found,2007,20.539,56.674
Sayh al Uhaymir 452,H6,676,Found,2006,20.595,56.83
Sayh al Uhaymir 467,L~5,271.7,Found,2008,20.16,56.646
Sayh al Uhaymir 476,L5,86.472,Found,2002,20.245,56.516
Sayh al Uhaymir 487,H6,32.7,Found,2008,21.276,57.119
Sayh al Uhaymir 496,H4,732,Found,2009,20.528,57.404
Sayh al Uhaymir 505,L4-5,110,Found,2009,20.564,56.666
Sayh al Uhaymir 514,L5,1145.1,Found,2009,20.713,57.122
Sayh al Uhaymir 523,L6,265.2,Found,2009,20.415,56.666
Sayh al Uhaymir 536,H5,412.8,Found,2010,20.537,56.989
Sayh al Uhaymir 545,L~6,24.5,Found,2002,20.538,56.666
Sayh al Uhaymir 554,H6,2022,Found,2010,20.241,56.642
Scott Glacier 06011,L5,2072,Found,2006,,
Scott Glacier 06020,L5,13.4,Found,2006,,
Scott Glacier 06034,LL5,4.3,Found,2006,,
Scott Glacier 06043,CM1,27.6,Found,2006,,
Seemore Downs 001,L/LL4,429,Found,1991,-30.583,125.217
Seminole,H4,43900,Found,1961,32.683,-102.617
Seneca,H4,1900,Found,1936,39.833,-96.067
Seymour,"Iron, IAB-MG",25900,Found,1940,37.237,-92.787
Shalim 007,H6,323.85,Found,1998,18.526,55.933
Shalim 016,H5,84.4,Found,2011,18.651,55.142
Shawnee,"Iron, IAB-MG",8181,Found,2010,0.0,0.0
Shişr 003,H5,234,Found,2000,18.57,53.91
Shişr 012,H4,802,Found,2002,18.562,53.972
Shişr 021,H4-6,135.23,Found,2001,18.605,53.888
Shişr 030,H5,176.28,Found,1998,18.154,53.775
Shişr 039,L4-5,2123.2,Found,2002,18.547,53.957
Shişr 048,L5/6,375,Found,2005,18.547,54.0
Shişr 108,L~5,35.41,Found,2001,18.192,53.804
Shişr 118,L/LL4,10.2,Found,2007,18.253,53.996
Shişr 127,H~5,6.1,Found,2007,18.258,53.993
Shişr 136,H~5,1.6,Found,2007,18.259,53.991
Shişr 145,H~5,12.7,Found,2007,18.252,53.998
Shişr 154,H~5,53.2,Found,2007,18.259,53.994
Shişr 163,H4,1872.3,Found,2002,18.557,53.914
Shişr 174,LL6,120,Found,2010,18.544,53.991
Sierra Sandon,"Iron, IIIAB",6330,Found,1923,-25.167,-69.283
Silverton (Texas),H4,2576,Found,1938,34.533,-101.183
Siwa,L5-6,36,Found,1994,28.5,25.5
Sleeper Camp 005,H5,129,Found,,-30.174,126.292
Sleeper Camp 014,LL5,66,Found,1995,-30.183,126.367
Sleeper Camp 023,H4,72.3,Found,1993,-30.109,126.26
Smith Center,L6,1585,Found,1937,39.833,-99.017
Snyder Hill,L5,1160,Found,1994,32.158,-111.113
South Bend,"Pallasite, PMG",2500,Found,1893,41.65,-86.217
Spearman,"Iron, IIIAB",10400,Found,1934,36.25,-101.217
Ssyromolotovo,"Iron, IIIAB",217000,Found,1873,58.617,98.933
Starvation Lake,LL3.9,12000,Found,1975,-30.467,141.083
Stewart Valley 002,L6,28.9,Found,2001,36.208,-116.169
Stewart Valley 011,H6,49.6,Found,2003,36.21,-116.168
Sueilila,LL6,13266,Found,2005,24.636,-14.716
Superior Valley 003,H6,65.6,Found,2001,35.247,-117.1
Superior Valley 013,L5,2.74,Found,2002,35.233,-117.039
Susuman,"Iron, IIIAB",18900,Found,1957,62.721,148.13
Święcany,L/LL5,8,Found,2004,49.791,21.258
Taiban,L5,25000,Found,1934,34.45,-104.017
Tambo del Meteorito,H6,13.84,Found,2002,-23.981,-68.313
Tanezrouft 007,H5,780,Found,1989,25.3,0.617
Tanezrouft 015,H4-5,380,Found,1991,25.437,0.488
Tanezrouft 024,H4,37,Found,1991,25.434,0.013
Tanezrouft 034,H5,4720,Found,1991,25.435,-0.09
Tanezrouft 043,H4/5,284,Found,1992,25.459,-0.138
Tanezrouft 052,H4,737,Found,1992,25.263,-0.189
Tanezrouft 061,L3.9,65,Found,2002,25.3,0.2
Tanezrouft 072,H6,62285,Found,2002,24.438,0.103
Tanezrouft 081,H5,213,Found,2003,25.24,0.198
Tanokami Mountain,"Iron, IIIE",174000,Found,1885,34.917,135.967
Tassédet 002,H5,9.4,Found,2001,18.237,6.52
Tell,H6,16600,Found,1930,34.383,-100.4
Tessera,H4,51.3,Found,2000,45.508,12.308
Thiel Mountains 07001,H6,1865,Found,2007,-85.234,-90.437
Thiel Mountains 07015,H6,96,Found,2008,-85.348,-87.23
Thiel Mountains 82402,LL6,476,Found,1982,-85.163,-94.621
Thiel Mountains 82410,Diogenite,18.8,Found,1982,-85.25,-91.0
Thiel Mountains 91703,L4,264.9,Found,1991,-85.162,-94.576
Thiel Mountains 91712,L4,491.5,Found,1991,-85.158,-94.57
Thiel Mountains 91722,CM2,47.4,Found,1991,-85.158,-94.608
Thiel Mountains 99006,H6,31,Found,2000,-85.163,-94.58
Thiel Mountains 99016,EL6,43,Found,2000,-85.165,-94.777
Thumrayt 001,"Pallasite, PMG",2480,Found,2006,17.583,54.35
Tibooburra,CV3,18.6,Found,1970,-29.433,142.017
Tieret 008,L4,28,Found,2010,30.934,10.065
Tiffa 002,H4/5,4705,Found,1997,19.696,11.527
Timessa 001,H6,473,Found,1990,26.567,15.733
Tobychan,"Iron, IIE",52100,Found,1971,,
Tostado,H6,22000,Found,1945,-29.233,-61.767
Trenton,"Iron, IIIAB",505000,Found,1858,43.367,-88.133
Tucson,"Iron, ungrouped",975000,Found,1850,31.85,-110.967
Tulia (d),H6,17700,Found,1981,34.607,-101.767
Tungsten Mountain 008,H5,7,Found,2001,39.681,-117.628
Tungsten Mountain 542,H5,4.6,Found,2007,39.687,-117.626
Twentynine Palms,L,19700,Found,1944,34.075,-116.017
Ularring,L6,271.8,Found,1970,-29.967,120.6
Umm as Samim 003,H3.7,991,Found,2001,21.32,56.417
Umm as Samim 016,H5,3.86,Found,2010,21.344,55.457
Umm as Samim 025,L6,305.98,Found,2010,21.125,55.527
Union County,"Iron, IC",6800,Found,1853,34.75,-84.0
United Arab Emirates 009,H6,15,Found,2009,22.793,55.097
United Arab Emirates 018,H5,540,Found,2009,22.795,55.208
United Arab Emirates 027,L6,107,Found,2009,22.894,55.17
Ust-Nyukzha,"Iron, IAB complex",44000,Found,1992,56.383,120.467
Valkeala,L6,4000,Found,1962,61.05,26.833
Yamato 980112,L6,12.377,Found,1998,,
Vigo Park,L4,35,Found,1934,34.683,-101.383
Vulcan,H6,19000,Found,1962,50.517,-113.133
Waldo,L6,1300,Found,1937,39.1,-98.833
Warden,H5,7868,Found,1989,-23.267,116.933
Watson 003,H4,2.6,Found,2008,-30.483,131.55
Watson 012,H7,103.1,Found,2009,-30.567,131.5
Wei-hui-fu (a),Iron,NA,Found,1931,,
Wellman (c),H4,45000,Found,1964,33.033,-102.333
White Elephant,L4,10.4,Found,1997,35.89,-114.203
Wilbia,H5,94,Found,1965,-26.45,131.0
Willard (b),H3.6,12700,Found,1934,34.5,-105.833
Williston,"Iron, IIIAB",7645,Found,1962,47.983,-103.65
Winburg,"Iron, IC-an",50000,Found,1881,-28.5,27.0
Wisconsin Range 91600,CM2,184.1,Found,1991,-86.538,-124.216
Wisconsin Range 91609,H4,11.1,Found,1991,-86.5,-124.749
Wisconsin Range 91618,LL4,197.6,Found,1991,-86.152,-124.29
Wisconsin Range 91628,L6,150.1,Found,1991,-86.51,-122.952
Woodward County,H4,45500,Found,1923,36.5,-99.5
Xinyi,H5,69000,Found,1975,34.367,118.333
Yamato 000593,Martian (nakhlite),13713,Found,2000,-71.5,35.667
Yamato 696,H5,41,Found,1969,-71.5,35.667
Yamato 7306,H6,4.8,Found,1973,-71.5,35.667
Yamato 74003,L6,15.5,Found,1974,-71.5,35.667
Yamato 74013,Diogenite,2059.5,Found,1974,-71.837,36.304
Yamato 74021,H5,39.3,Found,1974,-71.794,36.182
Yamato 74030,L6,7.82,Found,1974,-71.5,35.667
Yamato 74039,L6,47.6,Found,1974,-71.828,36.244
Yamato 74048,LL6,67.1,Found,1974,-71.804,36.292
Yamato 74057,H4,16.32,Found,1974,-71.5,35.667
Yamato 74066,L6,12.4,Found,1974,-71.5,35.667
Yamato 74076,L6,20.36,Found,1974,-71.5,35.667
Yamato 74085,H4,30.5,Found,1974,-71.5,35.667
Yamato 74094,H6,867.2,Found,1974,-71.798,36.249
Yamato 74103,H6,21.59,Found,1974,-71.5,35.667
Yamato 74112,H5,45.52,Found,1974,-71.5,35.667
Yamato 74121,H6,8.53,Found,1974,-71.5,35.667
Yamato 74130,Ureilite,17.9,Found,1974,-71.809,36.258
Yamato 74140,H3,4.29,Found,1974,-71.5,35.667
Yamato 74149,H6,0.7,Found,1974,-71.5,35.667
Yamato 74158,L6,91.5,Found,1974,-71.817,36.128
Yamato 74167,H3,2.1,Found,1974,-71.758,35.033
Yamato 74176,L6,4.7,Found,1974,-71.5,35.667
Yamato 74185,L6,0.39,Found,1974,-71.5,35.667
Yamato 74194,H5,4.78,Found,1974,-71.5,35.667
Yamato 74204,H5,5,Found,1974,-71.5,35.667
Yamato 74213,H5,6.3,Found,1974,-71.5,35.667
Yamato 74222,H5,8.16,Found,1974,-71.5,35.667
Yamato 74231,H5,3.66,Found,1974,-71.5,35.667
Yamato 74240,H5,4.18,Found,1974,-71.5,35.667
Yamato 74249,H5,7.1,Found,1974,-71.5,35.667
Yamato 74258,H5,2.61,Found,1974,-71.5,35.667
Yamato 74268,H5,5.43,Found,1974,-71.5,35.667
Yamato 74277,H5,6.31,Found,1974,-71.5,35.667
Yamato 74286,H5,5.77,Found,1974,-71.5,35.667
Yamato 74295,H5,11.16,Found,1974,-71.5,35.667
Yamato 74304,H5,2.12,Found,1974,-71.5,35.667
Yamato 74313,H5,0.79,Found,1974,-71.5,35.667
Yamato 74322,H5,1.68,Found,1974,-71.5,35.667
Yamato 74332,H5,2.19,Found,1974,-71.5,35.667
Yamato 74341,H5,0.86,Found,1974,-71.5,35.667
Yamato 74350,H5,4.78,Found,1974,-71.763,35.9
Yamato 74359,H-an,1.53,Found,1974,-71.5,35.667
Yamato 74368,Diogenite,4.13,Found,1974,-71.5,35.667
Yamato 74377,H6,10.51,Found,1974,-71.5,35.667
Yamato 74385,H5,1.63,Found,1974,0.0,35.667
Yamato 74395,H5,0.77,Found,1974,0.0,35.667
Yamato 74404,H5,1.16,Found,1974,0.0,35.667
Yamato 74413,H5,1.05,Found,1974,0.0,35.667
Yamato 74422,H6,20.58,Found,1974,0.0,35.667
Yamato 74430,H6,2.42,Found,1974,0.0,35.667
Yamato 74439,L6,32.74,Found,1974,-71.5,35.667
Yamato 74448,Diogenite,17.7,Found,1974,-71.5,35.667
Yamato 74458,H5,37.35,Found,1974,-71.5,35.667
Yamato 74467,H6,61.2,Found,1974,0.0,35.667
Yamato 74476,H6,91.8,Found,1974,0.0,35.667
Yamato 74485,H6,46.66,Found,1974,0.0,35.667
Yamato 74494,H6,80.5,Found,1974,0.0,35.667
Yamato 74503,H6,6.64,Found,1974,0.0,35.667
Yamato 74512,H6,11.93,Found,1974,0.0,35.667
Yamato 74522,H6,13.5,Found,1974,0.0,35.667
Yamato 74531,H6,10.75,Found,1974,0.0,35.667
Yamato 74540,H6,18.65,Found,1974,0.0,35.667
Yamato 74549,H6,8.19,Found,1974,0.0,35.667
Yamato 74558,H6,9.62,Found,1974,0.0,35.667
Yamato 74567,H6,6.89,Found,1974,0.0,35.667
Yamato 74576,H6,7.76,Found,1974,0.0,35.667
Yamato 74586,H6,8.18,Found,1974,0.0,35.667
Yamato 74595,H6,7.49,Found,1974,0.0,35.667
Yamato 74604,H4,58.57,Found,1974,-71.5,35.667
Yamato 74613,H6,23.2,Found,1974,-71.726,35.975
Yamato 74622,H6,3.22,Found,1974,0.0,35.667
Yamato 74631,H6,3.23,Found,1974,0.0,35.667
Yamato 74640,H6,1065.9,Found,1974,-71.714,35.997
Yamato 74650,L6,163.2,Found,1974,-71.749,35.997
Yamato 74659,Ureilite,18.9,Found,1974,-71.797,36.085
Yamato 75005,L6,0.2,Found,1975,-71.5,35.667
Yamato 75014,Diogenite,2.99,Found,1975,-71.5,35.667
Yamato 75023,L4/5,1.12,Found,1975,-71.5,35.667
Yamato 75032,Diogenite,189.1,Found,1975,-71.5,35.667
Yamato 75041,L6,1.29,Found,1975,-71.5,35.667
Yamato 75051,L6,3.9,Found,1975,-71.5,35.667
Yamato 75060,L6,2.9,Found,1975,-71.5,35.667
Yamato 75069,L6,8.1,Found,1975,-71.5,35.667
Yamato 75078,L6,1.39,Found,1975,-71.5,35.667
Yamato 75087,L6,0.26,Found,1975,-71.5,35.667
Yamato 75097,L6,2570.2,Found,1975,-71.5,35.667
Yamato 75106,LL3.8,15.8,Found,1975,-71.5,35.667
Yamato 75116,L6,40.5,Found,1975,-71.5,35.667
Yamato 75125,L4/5,62.9,Found,1975,-71.5,35.667
Yamato 75133,L6,82.1,Found,1975,-71.5,35.667
Yamato 75142,L6,8.65,Found,1975,-71.5,35.667
Yamato 75151,L6,3.74,Found,1975,-71.5,35.667
Yamato 75160,L6,4.9,Found,1975,-71.5,35.667
Yamato 75169,L6,3.49,Found,1975,-71.5,35.667
Yamato 75179,L6,7.84,Found,1975,-71.5,35.667
Yamato 75188,L6,7.19,Found,1975,-71.5,35.667
Yamato 75197,L6,6.24,Found,1975,-71.5,35.667
Yamato 75206,L6,11.7,Found,1975,-71.5,35.667
Yamato 75215,L6,1.15,Found,1975,-71.5,35.667
Yamato 75224,L6,2.74,Found,1975,-71.5,35.667
Yamato 75233,L6,1.83,Found,1975,-71.5,35.667
Yamato 75243,L6,0.65,Found,1975,-71.5,35.667
Yamato 75252,L6,0.41,Found,1975,-71.5,35.667
Yamato 75261,EH,0.59,Found,1975,-71.5,35.667
Yamato 75270,L5,26.9,Found,1975,-71.5,35.667
Yamato 75279,LL4-6,2.22,Found,1975,-71.5,35.667
Yamato 75288,L5,93.9,Found,1975,-71.5,35.667
Yamato 75297,L4,20.5,Found,1975,-71.5,35.667
Yamato 75307,Eucrite-pmict,7.9,Found,1975,-71.5,35.667
Yamato 790008,L6,11.39,Found,1979,-71.5,35.667
Yamato 790032,CR2,6.08,Found,1979,-71.5,35.667
Yamato 790041,L4,1.46,Found,1979,-71.5,35.667
Yamato 790068,H4,14.37,Found,1979,-71.5,35.667
Yamato 790077,H4,6.64,Found,1979,-71.5,35.667
Yamato 790086,H4,3.93,Found,1979,-71.5,35.667
Yamato 790096,H4,1.63,Found,1979,-71.5,35.667
Yamato 790105,H4,0.98,Found,1979,-71.5,35.667
Yamato 790115,H4,51.38,Found,1979,-71.5,35.667
Yamato 790124,L6/7,10.27,Found,1979,-71.5,35.667
Yamato 790142,H6,83.49,Found,1979,-71.5,35.667
Yamato 790167,H3.6,18.75,Found,1979,-71.5,35.667
Yamato 790189,H5,7.6,Found,1979,-71.5,35.667
Yamato 790220,H5,2.34,Found,1979,-71.5,35.667
Yamato 790229,H5,0.76,Found,1979,-71.5,35.667
Yamato 790238,H6,13.76,Found,1979,-71.5,35.667
Yamato 790250,LL4,354.2,Found,1979,-71.5,35.667
Yamato 790263,L6,16.37,Found,1979,-71.5,35.667
Yamato 790274,H4,64.7,Found,1979,-71.5,35.667
